플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
중고나라,디올,가방,디올 레이디백 미듐 아이보리,490000,https://img2.joongna.com/media/original/2026/08/16/1786853008158ll4_Hk30K.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231585479
중고나라,디올,가방,디올 레이디백 페이던트 은장 핑크베이지 스몰,450000,https://img2.joongna.com/media/original/2026/08/16/1786852866907oxk_bYth4.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231585420
중고나라,디올,가방,디올 뚜주흐 미듐 카프스킨,490000,https://img2.joongna.com/media/original/2026/08/07/1786065978775sTr_ifDhW.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231329013
중고나라,디올,가방,디올 북토트백 스몰 그레이 새상품,200000,https://img2.joongna.com/media/original/2026/08/16/1786872267610vaX_CajVa.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231594017
중고나라,디올,가방,디올 레이디 패브릭백,1460000,https://img2.joongna.com/media/original/2026/08/15/1786757544257P8o_NPMSH.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231556715
중고나라,디올,가방,디올 M1296ZOMPM993 북토트 미듐 토트백 블랙,2500000,https://img2.joongna.com/media/original/2026/06/10/1781076107166tCG_5RpwJ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229503694
중고나라,디올,가방,디올 디모션 스몰 블랙,380000,https://img2.joongna.com/media/original/2026/07/21/1784602029352WGo_mkT3b.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230825146
중고나라,디올,가방,디올 까나쥬 폰 홀더 파우더핑크,790000,https://img2.joongna.com/media/original/2026/08/18/1787014549202evs_Uwf5T.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231635774
중고나라,디올,가방,(새상품)디올 레이디 미니 체리레드(미차포함),3650000,https://img2.joongna.com/media/original/2026/05/27/1779838302179cvx_puwu1.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229018555
중고나라,디올,가방,디올 폰 홀더백,890000,https://img2.joongna.com/media/original/2026/07/08/1783484704088u10_VJrAd.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230421191
중고나라,디올,가방,디올 백팩,170000,https://img2.joongna.com/media/original/2026/08/11/1786450364627Nfk_zWdSv.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231460882
중고나라,디올,가방,디올 몽테인 폰홀더 (가격내림),800000,https://img2.joongna.com/media/original/2026/07/05/1783220015091OhW_GRfXw.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230319597
중고나라,디올,가방,디올 미니 크로스백,123456,https://img2.joongna.com/media/original/2026/03/26/1774504191970DJD_AtVCG.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/226762739
중고나라,디올,가방,디올 마이디올 탑핸들 블랙까나쥬,3820000,https://img2.joongna.com/media/original/2026/03/04/17725968872663sC_wmS67.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/225896876
중고나라,디올,가방,디올 미니백,150000,https://img2.joongna.com/media/original/2026/08/17/1786893230069XFx_4sIsH.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231602792
중고나라,디올,가방,디올 북토트 스몰백 레더 라떼 25.06월 +이너백,3200000,https://img2.joongna.com/media/original/2025/09/10/1757474865825lAA_Urqmc.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/219031785
중고나라,디올,가방,디올 뚜주흐 버티컬 토트백 미듐+이너백,4000000,https://img2.joongna.com/media/original/2026/04/21/1776764387816Jlo_cljnW.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/227769574
중고나라,디올,가방,디올 레이디백,270000,https://img2.joongna.com/media/original/2026/08/10/1786362066655dZP_qOeDo.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231429485
중고나라,디올,가방,디올 체인백,1520000,https://img2.joongna.com/media/original/2026/07/17/1784284350353OiB_5FAyR.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230716400
중고나라,디올,가방,정품 디올 옴므 오블리크 플랩 메신저백,2700000,https://img2.joongna.com/media/original/2026/07/23/1784766017571FkP_0cP5q.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230888189
중고나라,디올,가방,새상품 디올 레이디백,250000,https://img2.joongna.com/media/original/2026/07/13/1783901866715eUm_N7ET4.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230570103
중고나라,디올,가방,디올 뜨쥬흐 버티컬백(거의새상품),3500000,https://img2.joongna.com/media/original/2026/07/10/1783631448774cUS_wAvQr.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230477103
중고나라,디올,가방,디올 북토트 레더 미니 블랙 풀박스,2500000,https://img2.joongna.com/media/original/2026/06/30/1782783530987W3f_rRoPn.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230152904
중고나라,디올,가방,[정품]디올 30 몽테인 카프스킨 박스백 미니 네이비,1550000,https://img2.joongna.com/media/original/2026/08/15/1786793384816GGm_dCMKO.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231572007
중고나라,디올,가방,디올 보헤미안 숄더 스트랩,440000,https://img2.joongna.com/media/original/2026/03/03/1772536302207NU6_YyTW8.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/225875374
중고나라,디올,가방,디올 골드 파우치 (새상품)ㅡ4,50000,https://img2.joongna.com/media/original/2026/06/07/1780802666308IHS_T58vT.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229392892
중고나라,디올,가방,(상태 굿) 디올 오블리크 스트랩 A4 클러치백,950000,https://img2.joongna.com/media/original/2026/08/18/178705311241892Y_3aRib.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231654550
중고나라,디올,가방,[풀구성] 디올 오블리크 A4 클러치,800000,https://img2.joongna.com/media/original/2026/08/17/1786965157682aKg_Lh7oP.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231624742
